iOS,locationServicesAuthorized,"(Sim-only) Set location services to be authorized or not authorized for app 
via plist, so that location services alert doesn’t pop up. Default is to 
keep current sim setting. Note that if you use this setting you MUST also 
use the bundleId capability to send in your app’s bundle ID.",true or false
iOS,autoAcceptAlerts,"Accept iOS privacy access permission alerts (e.g., location, contacts, 
photos) automatically if they pop up. Default is false.",true or false
iOS,nativeInstrumentsLib,Use native intruments lib (ie disable instruments-without-delay).,true or false
iOS,nativeWebTap,"(Sim-only) Enable “real”, non-javascript-based web taps in Safari. Default: 
false. Warning: depending on viewport size/ratio this might not accurately 
tap an element",true or false
iOS,safariAllowPopups,"(Sim-only) Allow javascript to open new windows in Safari. Default keeps 
current sim setting",true or false
iOS,safariIgnoreFraudWarning,"(Sim-only) Prevent Safari from showing a fraudulent website warning. 
Default keeps current sim setting.",true or false
iOS,safariOpenLinksInBackground,"(Sim-only) Whether Safari should allow links to open in new windows. 
Default keeps current sim setting.",true or false
iOS,keepKeyChains,"(Sim-only) Whether to keep keychains (Library/Keychains) when appium 
session is started/finished",true or false
iOS,localizableStringsDir,Where to look for localizable strings. Default en.lproj,en.lproj
iOS,processArguments,Arguments to pass to the AUT using instruments,"e.g., -myflag"
iOS,interKeyDelay,"The delay, in ms, between keystrokes sent to an element when typing.","e.g., 100"
iOS,showIOSLog,"Whether to show any logs captured from a device in the appium logs. Default 
false",true or false
